bloomberg_name	lps_deal_no	intex_group	lps_pool_id	tranche_count
AABST 2003-1	AE301	0	AE0	5
AABST 2003-2	AE302	0	AE2	7
AABST 2003-3	AE303	0	AE3	9
AABST 2004-1		0		10
AABST 2004-1N		0		1
AABST 2004-2		0		14
AABST 2004-2N		0		1
AABST 2004-3	AE403	0	AE7	12
AABST 2004-4	AE404	0	AGK	9
AABST 2004-5	AE405	1	AG3	10
AABST 2004-5	AE405	2	AG4	8
AABST 2004-5N		0		1
AABST 2004-6	AE406	1	AHC	10
AABST 2004-6	AE406	2	AHD	9
AABST 2005-1		0		16
AABST 2005-1N	AE501	1	AHE	14
AABST 2005-1N	AE501	2	AHF	13
AABST 2005-2	AE502	1	AHG	12
AABST 2005-2	AE502	2	AHH	11
AABST 2005-3	AE503	0	I35	14
AABST 2005-4	AE504	1	GJE	19
AABST 2005-4	AE504	2	GJF	16
AABST 2005-5		0		21
AABST 2005-5N		0		2
AABST 2006-1		0		14
ABABS 2010-1	AR101	0	12E	6
ABFC 1999-1	AB991	0		6
ABFC 2001-AQ1	ABFC1	0	AT7	10
ABFC 2002-NC1		0		8
ABFC 2002-OPT1	02OP1	1	AY2	9
ABFC 2002-OPT1	02OP1	2	AY3	8
ABFC 2002-SB1		0		10
ABFC 2002-WF1	AWF21	0	C2L	6
ABFC 2002-WF2	AWF22	0	AY4	8
ABFC 2003-AHL1	AHL31	1	AY6	7
ABFC 2003-AHL1	AHL31	2	AY7	7
ABFC 2003-OP1	AWF33	1	AY8	8
ABFC 2003-OP1	AWF33	2	AY9	8
ABFC 2003-WF1	AWF31	0	AY5	6
ABFC 2003-WMC1	AWM31	1	AYA	7
ABFC 2003-WMC1	AWM31	2	AYB	8
ABFC 2004-AHL1	A4HL1	0	CZT	9
ABFC 2004-FF1	AB4F1	1	A0W	1
ABFC 2004-FF1	AB4F1	2	A0X	1
ABFC 2004-HE1	AB4H1	1	A1F	12
ABFC 2004-HE1	AB4H1	2	A1G	12
ABFC 2004-OPT1	ABF41	1	AYM	9
ABFC 2004-OPT1	ABF41	2	AYN	8
ABFC 2004-OPT2	ABF42	1	AYV	9
ABFC 2004-OPT2	ABF42	2	AYW	8
ABFC 2004-OPT3	ABF43	1	AYY	7
ABFC 2004-OPT3	ABF43	2	AYZ	9
ABFC 2004-OPT4	ABF44	1	A0S	8
ABFC 2004-OPT4	ABF44	2	A0T	8
ABFC 2004-OPT5	ABF45	1	A2A	8
ABFC 2004-OPT5	ABF45	2	A2B	10
ABFC 2005-AQ1	AB5A1	NULL	AWW	16
ABFC 2005-HE1	ABFH1	1	A2V	14
ABFC 2005-HE1	ABFH1	2	A2W	14
ABFC 2005-HE1	ABFH1	3	A2X	15
ABFC 2005-HE2	ABFH2	1	GW0	14
ABFC 2005-HE2	ABFH2	2	GW1	17
ABFC 2005-OPT1	ABF51	1	GW2	13
ABFC 2005-OPT1	ABF51	2	GW3	14
ABFC 2005-WF1	ABFW1	1	A3I	14
ABFC 2005-WF1	ABFW1	2	A3J	16
ABFC 2005-WMC1	AB5M1	1	A3V	15
ABFC 2005-WMC1	AB5M1	2	A3W	19
ABFC 2006-HE1	ABF61	1	GW4	13
ABFC 2006-HE1	ABF61	2	GW5	16
ABFC 2006-OPT1	AB6O1	0	AMV	1
ABFC 2006-OPT1	AB6O1	1	AMT	11
ABFC 2006-OPT1	AB6O1	2	AMU	11
ABFC 2006-OPT1	AB6O1	3	AMV	14
ABFC 2006-OPT2	AB6O2	1	APA	11
ABFC 2006-OPT2	AB6O2	2	APB	11
ABFC 2006-OPT2	AB6O2	3	APC	14
ABFC 2006-OPT3	AB6O3	1	APD	13
ABFC 2006-OPT3	AB6O3	2	APE	13
ABFC 2006-OPT3	AB6O3	3	APF	15
ABFC 2007-WMC1	AB7W1	1	1G1	16
ABFC 2007-WMC1	AB7W1	2	1G2	16
ABFS 2000-4		0		1
ABFS 2001-1		0		2
ABFS 2001-2		0		5
ABFS 2001-3		0		2
ABFS 2001-4		0		1
ABFS 2002-1		0		6
ABFS 2002-2		0		11
ABFS 2002-3		0		5
ABFS 2002-4		0		5
ABFS 2003-1		0		3
ABFS 2003-2		0		4
ABSHE 1998-LB1	ABS81	0		3
ABSHE 1999-LB1	ABS91	0		7
ABSHE 2001-HE1	ABS02	1	AU1	1
ABSHE 2001-HE1	ABS02	2	AU2	1
ABSHE 2001-HE2	AB102	1	AWA	8
ABSHE 2001-HE2	AB102	2	AWH	8
ABSHE 2001-HE3	ABS13	0	AWB	9
ABSHE 2002-HE1	AB201	1	AWC	1
ABSHE 2002-HE1	AB201	2	AWE	1
ABSHE 2002-HE2	ABS22	1	AWF	1
ABSHE 2002-HE2	ABS22	2	AWG	1
ABSHE 2002-HE3	ABS23	1	AWK	9
ABSHE 2002-HE3	ABS23	2	DDZ	10
ABSHE 2003-HE1	ABS31	1	AWI	5
ABSHE 2003-HE1	ABS31	2	AWJ	7
ABSHE 2003-HE2	AB302	1	AWN	12
ABSHE 2003-HE2	AB302	2	AWO	12
ABSHE 2003-HE3	ABS33	1	AWL	9
ABSHE 2003-HE3	ABS33	2	AWM	9
ABSHE 2003-HE4	AB304	1	AWP	13
ABSHE 2003-HE4	AB304	2	AWQ	15
ABSHE 2003-HE5	AB305	1	AWR	11
ABSHE 2003-HE5	AB305	2	AWS	11
ABSHE 2003-HE5	AB305	3	AWT	11
ABSHE 2003-HE6	ABS36	1	AWU	9
ABSHE 2003-HE6	ABS36	2	AWV	9
